startingAirport,destinationAirport,travelDuration,totalTravelDistance
0,1,407.0676315108499,1017.0409042179587
0,2,447.47056213017754,1141.9120808678501
0,3,503.7760316368638,1752.299484181568
0,4,394.495275018173,1225.3724254906713
0,5,408.9265398527154,1108.5558562543913
0,6,349.24967164179105,922.5640597014925
0,7,343.40545489591364,729.4012143407864
0,8,453.06250605678844,1095.5462415608747
0,9,531.748653713051,2148.161098637676
0,10,373.2164232429188,982.5730128333381
0,11,517.3784909358158,1701.4679487179487
0,12,704.0505203626504,2422.5623414861675
0,13,435.795510139667,1270.3198926852363
0,14,397.56558959295006,1044.967771716324
0,15,640.4042148598314,2552.3368947265244
1,0,405.31190725434743,1046.147680577473
1,2,363.4737024141668,805.7406211810279
1,3,538.1541146892565,1932.7108427946898
1,4,473.3399967561431,1669.1696739923768
1,5,385.5750745773948,807.1899000899664
1,6,469.0616662471684,1377.8810302877757
1,7,370.13407428831135,753.2686443829277
1,8,429.8182354676896,580.8856594865742
1,9,621.6697343911694,2742.4936184891344
1,10,373.50483500771344,813.451405350491
1,11,446.04865768728985,1326.1067786332483
1,12,790.8268889798145,3024.117328150573
1,13,419.4433236608171,989.1774676431302
1,14,371.98060941828254,346.35353990852286
1,15,661.7599139031776,2860.8665681660646
2,0,433.0529664735826,1133.9000351061964
2,1,357.0560789591745,795.658623341665
2,3,482.86761779297586,1769.9800992235894
2,4,420.4179016639024,1254.1608082321259
2,5,395.68423866235037,973.9482937839684
2,6,365.0994632288847,1005.3730788640638
2,7,325.3741199536583,797.9976829159611
2,8,407.24714590390164,841.7424099862
2,9,575.7377808136005,2448.808224549686
2,10,330.60073626323685,746.5540380857155
2,11,379.9237121122541,1077.2480588072997
2,12,777.6129764065336,2592.1834165154264
2,13,408.55552577503795,1103.0712945590994
2,14,375.22038035764973,914.4568549531649
2,15,627.7058365506277,2698.796418259092
3,0,465.0091989904357,1759.9492561105208
3,1,486.9213311980001,1949.9168391859694
3,2,451.6890480103298,1788.1313240990726
3,4,413.2411013270495,1482.0099218653106
3,5,475.11575443786984,1720.1711908284024
3,6,453.8145855259085,1907.5222249736892
3,7,454.30672494956286,1759.8011768661736
3,8,588.2723797642468,2022.284263391072
3,9,397.93653810495084,1171.4408492490265
3,10,458.2965779467681,1877.476150731089
3,11,513.9236872812136,2132.2160602524664
3,12,480.0154373927959,1356.4252809185423
3,13,417.5704692387904,1496.0954744525548
3,14,486.4854767653135,1906.3663289942006
3,15,416.12293021476586,1269.984835236898
4,0,415.2762459621597,1306.3753461006
4,1,466.2507861449344,1637.1371556921622
